created_at,user_name,text,retweet_count,favorite_count,entities.hashtags.text,sentiment,search_term,senti_ratio
Fri Dec 03 19:26:12 +0000 2021,ten2qin,RT @xiayuhag: wai is worse than the homophobic itsay dog https://t.co/rlQDTFGCXH,60,0,[],-3.0,dog,-0.011494252873563218
Fri Dec 03 19:26:12 +0000 2021,arvynplay717,"RT @insomniacgames: Happy 20th anniversary to our pals from another dimension! We 💙 you, Jak and Daxter! #RatchetPS5 @Naughty_Dog https://t…",316,0,['ratchetps5'],3.0,dog,0.011494252873563218
Fri Dec 03 19:26:12 +0000 2021,JimLockett6,"RT @AdoptionsUk: Please retweet to help Jasper find a home #Manchester #ENGLAND 
Terrier aged approx 7, found as a stray, nervous but affec…",224,0,"['manchester', 'england']",1.0,dog,0.0038314176245210726
Fri Dec 03 20:20:12 +0000 2021,DustinTheWind00,RT @RexChapman: This dog’s memory is unreal… https://t.co/1TeKxJ5U7l,1452,0,[],0.0,dog,0.0
Fri Dec 03 20:20:11 +0000 2021,zahidshah2154,"RT @shibaswap_dog: 📌 SHIBINUSWAP PRESALE PHASE 1 IS NOW LIVE! 🔥🔥🔥 

⚡ Phase 1 Price, 1 SHIB = 0.0000006$

ends December 10

⚡ End Phase, 1…",1362,0,[],0.0,dog,0.0
Fri Dec 03 20:20:11 +0000 2021,fanpms,"RT @_CastellanosEve: Hi, Lisa’s Fanclub #LISA Now, an old man with a dog mouth insulted Lisa that she was low qualifications than #SITALA I…",57,0,"['lisa', 'sitala']",-2.0,dog,-0.007662835249042145
Fri Dec 03 20:20:11 +0000 2021,creaneypatricia,Get justice for a poor dog locked into a hot car as punishment. #AnimalCruelty #AnimalAbuse #Justice4Animals… https://t.co/THnkKSX8iQ,0,0,"['animalcruelty', 'animalabuse', 'justice4animals']",2.0,dog,0.007662835249042145
Fri Dec 03 20:20:10 +0000 2021,_mlchittaphon,q random pasar de mad dog a favorite crime fua,0,0,[],-4.0,dog,-0.01532567049808429
Fri Dec 03 20:20:10 +0000 2021,people,Missing Dog Saves Virginia Family from House Fire Before Reuniting with Owners  https://t.co/9coIDfDHNA,0,0,[],-4.0,dog,-0.01532567049808429
Fri Dec 03 20:20:09 +0000 2021,PEOPLEPets,Missing Dog Saves Virginia Family from House Fire Before Reuniting with Owners  https://t.co/1YGrqtqKGg,0,0,[],-4.0,dog,-0.01532567049808429
Fri Dec 03 20:20:09 +0000 2021,tarot_dog,"RT @Amaralee23: Whatcha think you doing there fella's??
Hmmmmmmm... We see you!!!! https://t.co/1EQ5v7V3XT",97,0,[],0.0,dog,0.0
Fri Dec 03 20:20:09 +0000 2021,AmyCole21812095,RT @StreetArtDream: ... don't stop being curious... or not? 🤔🙌😅🐶 #StreetArt #Art #Dog #SMile #Humor #funniesttweets #UrbanArt #curious #Bea…,45,0,"['streetart', 'art', 'dog', 'smile', 'humor', 'funniesttweets', 'urbanart', 'curious']",5.0,dog,0.019157088122605363
Fri Dec 03 20:20:09 +0000 2021,EBONYMANLEY_22,@CashApp My dog in her Christmas sweater #cashappinwild $ebonymanley24 https://t.co/3G2zCKofns,0,0,['cashappinwild'],0.0,dog,0.0
Fri Dec 03 20:20:09 +0000 2021,eoinh3ck,@oxyjene1986 brew dog,0,0,[],0.0,dog,0.0
Fri Dec 03 20:20:08 +0000 2021,steelygreyste,RT @misheleneous: Check out this item in my Etsy shop https://t.co/DUydKbXkOw Hanging around like a #bassethound 🐕 Bling up your #Christmas…,2,0,['bassethound'],2.0,dog,0.007662835249042145
Fri Dec 03 20:20:07 +0000 2021,poeskats,RT @shrewkid: cube dog https://t.co/eSS6VVTQ3e,180,0,[],0.0,dog,0.0
Fri Dec 03 20:20:07 +0000 2021,HighDefDiscNews,"@FINALLEVEL @CuteSpartacus Sorry to hear, sir. Dogs are so special in our lives. They’re just as important as human… https://t.co/ocAJgzV1uh",0,0,[],1.0,dog,0.0038314176245210726
Fri Dec 03 20:20:06 +0000 2021,MeenJean_,RT @FaugaleRoyale: That dog said “now listen here mutha____… I ain’t these other dogs” 😭😂 https://t.co/vapRvmhhHw,1727,0,[],0.0,dog,0.0
Fri Dec 03 20:20:06 +0000 2021,SKcRandy,@davekebo @flurnft Lord. This dog collection 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,0,0,[],0.0,dog,0.0
Fri Dec 03 20:20:06 +0000 2021,PACIFISTSPIRIT,"🌸: One of the dogs almost got away when I was dog walking today.

Woulda been no good😅",0,0,[],2.0,dog,0.007662835249042145
Fri Dec 03 20:20:06 +0000 2021,moixeshillo,"RT @Naughty_Dog: Thank you to Tumblr user themagiccrafter who submitted their extraordinary, magically metallic Precursor Orb! Truly a spec…",104,0,[],2.0,dog,0.007662835249042145
Fri Dec 03 20:20:05 +0000 2021,stxcyyz,RT @CELLPHONECRYING: so the dog chained up but the lion can walk around all willy nilly??😭,13,0,[],0.0,dog,0.0
Fri Dec 03 20:20:05 +0000 2021,BradKliedsdale,@BittrichDen @killybones @insomniacgames @Naughty_Dog I was gonna get mad. I thought it was a story spoiler or some… https://t.co/v48joNhBvr,0,0,[],-3.0,dog,-0.011494252873563218
Fri Dec 03 20:20:05 +0000 2021,Telegraph,"🐶 Feeding your dog once a day could reduce the risk of them suffering age-related health issues, a new study claims https://t.co/abmiJCRxnU",0,0,[],-4.0,dog,-0.01532567049808429
Fri Dec 03 20:20:05 +0000 2021,HarlanDechamps,"@egdeaile_writer I had a dog who liked to pull all the stuffing out of his toys, then he’d just carry the carcass a… https://t.co/Zj4u6Mgmbs",0,0,[],2.0,dog,0.007662835249042145
Fri Dec 03 20:20:04 +0000 2021,billtay65416388,RT @ShadowDogDesign: Shop local for artisan gifts at the Christmas Open House featuring  Nina Eaton Photography &amp; jewelry from Shadow Dog D…,22,0,[],0.0,dog,0.0
Fri Dec 03 20:20:04 +0000 2021,anonymouse101_,currently sobbing bc i saw a tik tok of someone talking ab their dog passing away,0,0,[],0.0,dog,0.0
Fri Dec 03 20:20:04 +0000 2021,Dlkgamess,"RT @insomniacgames: Happy 20th anniversary to our pals from another dimension! We 💙 you, Jak and Daxter! #RatchetPS5 @Naughty_Dog https://t…",628,0,['ratchetps5'],3.0,dog,0.011494252873563218
Fri Dec 03 20:20:04 +0000 2021,byebrea,"RT @funmbitoye: they chained the dog, lion dey roam …",67,0,[],0.0,dog,0.0
Fri Dec 03 20:20:04 +0000 2021,wclrr,"PUPDATE!
.
From the family of Simon (formerly Truth): ""We are so so thankful for such a wonderful loving dog!!! We… https://t.co/0LdJegHzlO",0,0,[],8.0,dog,0.03065134099616858
Fri Dec 03 20:20:04 +0000 2021,MarkVanDoren6,RT @FINALLEVEL: Awful news.. King Maximus past away today.. He’d been sick for a year with cancer.. He was 10yrs old.. Dog’s lives are far…,182,0,[],-6.0,dog,-0.022988505747126436
Fri Dec 03 20:20:03 +0000 2021,interdogrescue,Many romanian dogs aren’t neutered resulting in unwanted puppies. To lower the numbers of street dogs we teamed up… https://t.co/we9vieeGqr,0,0,[],-2.0,dog,-0.007662835249042145
Fri Dec 03 20:20:03 +0000 2021,CopTheseDeals,"Best Selling Furhaven Orthopedic Dog Bed for Medium Sized Dogs only $24.85!!

https://t.co/ByONsYt1nf https://t.co/hiCPjdEqo9",0,0,[],3.0,dog,0.011494252873563218
Fri Dec 03 20:20:03 +0000 2021,1ncoherent,"@ClawlessKitty @JOCKCVT ᅠ 
“IS THIS SUPPOSED TO MAKE FUCKING SENSE???!?!?!?!!?”

Dog’s confused. He spends most of… https://t.co/kKhi86sw39",0,0,[],-6.0,dog,-0.022988505747126436
Fri Dec 03 20:20:02 +0000 2021,Spaceca38904070,"RT @AdoptionsUk: Please retweet to help Peggy find a home #MANCHESTER #ENGLAND 
Excitable Staffy aged 5, friendly, she can live with anothe…",115,0,"['manchester', 'england']",5.0,dog,0.019157088122605363
Fri Dec 03 20:20:02 +0000 2021,kage91_shinca,@_spike_dog かなり雰囲気良さそうですね！！！🥰😍✨,0,0,[],0.0,dog,0.0
Fri Dec 03 20:20:02 +0000 2021,MyTweetPack,Not the size of the dog in the fight but the size of the fight in the dog - Mark Twain https://t.co/w3QAYl0aax #LinkedIn,0,0,['linkedin'],-2.0,dog,-0.007662835249042145
Fri Dec 03 20:20:02 +0000 2021,TheGoodDogGuide,"Located in the village of Sleights, a few miles from the bustling seaside town of #Whitby, is this charming semi-de… https://t.co/dzShDAfSi2",0,0,['whitby'],3.0,dog,0.011494252873563218
Fri Dec 03 20:20:01 +0000 2021,healthinvest,"RT @IBRescue: Available:
Howard  (male) is curious and lively, but mostly wants to be a lap dog.
Good with: children; cats with proper intr…",3,0,[],6.0,dog,0.022988505747126436
Fri Dec 03 20:20:01 +0000 2021,CardenaRicardo,La cinematografía de The Power of the Dog es 🔥🔥🔥🔥,0,0,[],0.0,dog,0.0
Fri Dec 03 20:20:01 +0000 2021,beagles_bradley,"@traceyb18165097 @ElsaJeanxxx I miss read your tweet the first time, you got the wrong Kate then she's a he my dog,… https://t.co/rutXW0ha1F",0,0,[],-2.0,dog,-0.007662835249042145
Fri Dec 03 20:20:00 +0000 2021,jaivsr,Lost the count of number of times I have been chased by a dog. https://t.co/ZUiPcDHvoK,0,0,[],-3.0,dog,-0.011494252873563218
Fri Dec 03 20:20:00 +0000 2021,SlyKiko3,"RT @insomniacgames: Happy 20th anniversary to our pals from another dimension! We 💙 you, Jak and Daxter! #RatchetPS5 @Naughty_Dog https://t…",628,0,['ratchetps5'],3.0,dog,0.011494252873563218
Fri Dec 03 20:20:00 +0000 2021,sbrowne04,"RT @DogLostUK: #Dogs featured in @CountrymansW 

Arnie https://t.co/CjedntC1ft
Hamish https://t.co/BETIVwNUhG
Harvey https://t.co/feDMVAQsl…",12,0,['dogs'],0.0,dog,0.0
Fri Dec 03 20:20:00 +0000 2021,Havilah_V,"#FurryFriday:
#ChristmasIsComing #NaughtyList
#Naughty #BadBoys #BadGirls #BadToTheBone #InTrouble #TroubleMaker… https://t.co/WDmy6SUB4M",0,0,"['furryfriday', 'christmasiscoming', 'naughtylist', 'naughty', 'badboys', 'badgirls', 'badtothebone', 'introuble', 'troublemaker']",0.0,dog,0.0
Fri Dec 03 20:20:00 +0000 2021,backcornerguyy,@xeroxight Do u scoop the whole dog onto the spoon,0,0,[],3.0,dog,0.011494252873563218
Fri Dec 03 20:19:59 +0000 2021,hyeongissik,@babo_dog 오주형 혹시 9화에서도 아직 안 죽엇나요?.... ^^,0,0,[],0.0,dog,0.0
Fri Dec 03 20:19:59 +0000 2021,hr130130,"RT @4Ji7DJlq6b7EbYe: 🎄🍀😊🌼💖🌷💚🌻🤗🌸💜💐😘🌿💞🌺❤️🌹
Dog molests a cat under the pretext of Climbing on a tree 
Happy weekend https://t.co/jtUdxXTqfQ",1,0,[],3.0,dog,0.011494252873563218
Fri Dec 03 20:19:58 +0000 2021,Ayeitsmepch,RT @moviesmusic_th_: Hailee Steinfeld และน้องหมาผู้รับบท Pizza Dog เซลฟี่คู่กันระหว่างถ่ายทำซีรีส์ Hawkeye 💜 ทั้งเฮลี่ทั้งน้องน่ารักมากกก h…,434,0,[],0.0,dog,0.0
Fri Dec 03 20:19:58 +0000 2021,_Pehicc,"RT @ginachron: #NYCACC
🆘DEADLINE &gt; 🕛SAT 12/04⌛
• 10 on Euth List -🆘
• URGENT •
Rescues rely on Fosters with varying dog exp living in N Eas…",46,0,['nycacc'],1.0,dog,0.0038314176245210726
Fri Dec 03 20:19:57 +0000 2021,SistahSkinglo,🤣🤣🤣🤣🤣🤣🤣 that dog wasn’t having it https://t.co/tD9GpxCJJu,0,0,[],0.0,dog,0.0
Fri Dec 03 20:19:57 +0000 2021,fleetstreetfox,Nativity request from school for 'townspeople' with 'tea towels' on heads. Told #Foxcub she could use my keffiyeh f… https://t.co/3p2c58VyZC,0,0,['foxcub'],0.0,dog,0.0
